SID,Odate,Pname
1.00E+11,10222012,"Water Bottle - 30 oz., Road-750 Black, Men's Bib-Shorts, Mountain-200 Silver, Mountain-100 Black, Sport-100 Helmet, Half-Finger Gloves"
10012012104,1042012,"LL Road Frame - Black, LL Mountain Tire, AWC Logo Cap, Fender Set - Mountain, Touring-2000 Blue, Touring Tire, LL Road Tire"
10012012105,1052012,"Touring Tire Tube, AWC Logo Cap, Mountain-100 Black, Road-650 Red, Touring-1000 Yellow, Long-Sleeve Logo Jersey, Men's Bib-Shorts"
1.01E+11,10222012,"LL Road Frame - Red, Road-250 Black"
10112012104,1042012,"Classic Vest, Road-150 Red, ML Road Frame-W - Yellow, Half-Finger Gloves"
10112012105,1052012,"ML Headset, Touring-1000 Blue"
1.01E+11,11292012,"AWC Logo Cap, ML Mountain Frame-W - Silver, Racing Socks, HL Mountain Frame - Silver, Men's Sports Shorts, Water Bottle - 30 oz."
10112012916,9162012,"LL Touring Frame - Yellow, Fender Set - Mountain, Mountain Tire Tube"
1011201298,982012,"Fender Set - Mountain, Touring Tire Tube, Full-Finger Gloves"
1012012101,1012012,"ML Road Pedal, HL Mountain Handlebars, Mountain-200 Black, Road-750 Black"
10120121011,10112012,"Road-250 Black, Touring Tire Tube, Mountain-500 Silver, ML Mountain Frame-W - Silver, Fender Set - Mountain, Water Bottle - 30 oz., HL Headset"
10120121012,10122012,"AWC Logo Cap, Bike Wash - Dissolver, Mountain-200 Black, Mountain Tire Tube, Half-Finger Gloves, Women's Mountain Shorts"
10120121014,10142012,"Sport-100 Helmet, Fender Set - Mountain, All-Purpose Bike Stand, Water Bottle - 30 oz."
10120121016,10162012,"Road-650 Red, Sport-100 Helmet, HL Crankset, Road Bottle Cage"
10120121019,10192012,"HL Mountain Frame - Black, Mountain Bottle Cage"
10120121020,10202012,"Road-650 Black, Mountain-100 Black, ML Road Frame-W - Yellow, Road-750 Black, Sport-100 Helmet, Mountain Tire Tube, ML Mountain Frame - Black, Road-350-W Yellow"
10120121021,10212012,"Patch Kit/8 Patches, HL Road Tire"
10120121022,10222012,"Mountain-400-W Silver, LL Road Frame - Black, Racing Socks, Road-550-W Yellow, Road-750 Black, LL Road Tire, Water Bottle - 30 oz., Women's Mountain Shorts"
10120121023,10232012,"HL Road Frame - Black, HL Crankset, Short-Sleeve Classic Jersey, HL Touring Frame - Blue, HL Mountain Frame - Silver, ML Road Frame-W - Yellow, Men's Sports Shorts"
